Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
SÃO CRISTÓVÃO;15;MARCOS;PMDB/PDT / PMDB / PSDC / PSB / PV / PC do B;11.968;30,77 %
SÃO DOMINGOS;13;PEDRINHO;PT/PT / PMDB / PTN / PSL;3.073;48,19 %
SÃO FRANCISCO;40;ALTAIR - LEOA;PSB/PSB / PSD / PSDB / PC do B;1.599;50,27 %
SÃO MIGUEL DO ALEIXO;45;EVERTON LIMA;PSDB/PSDB / PR / PSC / PHS / DEM / PSB;2.022;61,76 %
SIMÃO DIAS;20;MARIVAL SANTANA;PSC/PP / PDT / DEM / PV / PC do B / PR / PSDB / PPL / PT do B / PROS / PSC / PRB;16.993;64,44 %
SIRIRI;40;ZÉ ROSA;PSB/PRB / PT / PR / PSB / SD / PC do B;3.335;61,62 %
TELHA;15;FLAVIO DIAS;PMDB/PMDB / PT / PPS / PV / PSD / PC do B / PROS;1.445;50,61 %
TOBIAS BARRETO;15;DIÓGENES ALMEIDA;PMDB/PMDB / PSD / PRP / PP / PEN / DEM;14.872;50,16 %
TOMAR DO GERU;77;PEDRINHO BALBINO;SD/SD / PR / PSL / PSC / PMN / PTC / PC do B / PT do B;4.056;54,09 %
UMBAÚBA;15;HUMBERTO MARAVILHA;PMDB/DEM / PSDC / PMN / PSC / PEN / PHS / PMDB / PDT / PT / PROS / PRB / PRP;8.044;58,09 %
