Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
PALMA SOLA;15;KIKO MANTELLI;PMDB/PT / PMDB / PSDB / PSD;2.579;52,65 %
PALMEIRA;22;FERNANDA;PR/PP / PT / PR / PSDB / PROS;1.496;57,19 %
PALMITOS;15;DAIR;PMDB/PMDB / PRB / PSC;5.994;57,05 %
PAPANDUVA;11;SALIBA;PP/PR / PSD / PSB / PT / PP / PDT;8.246;68,35 %
PARAÍSO;13;VALDECIR ANTONIO CASAGRANDE;PT/PT / PMDB / PDT;1.370;41,87 %
PASSO DE TORRES;15;JONAS;PMDB/PMDB / PSDB / PC do B;2.795;57,44 %
PASSOS MAIA;55;LISTONI;PSD/PP / PR / PSB / PSDB / PSD;1.568;50,11 %
PAULO LOPES;11;NADIR;PP/PP / PRB / PSDB / PSD / PSB;3.546;66,87 %
PEDRAS GRANDES;55;XIXO;PSD/PMDB / PSD / PDT;1.844;51,49 %
PENHA;15;AQUILES;PMDB/PMDB / PSC / PRB / PT / PTB / PR / PPS / PRP / PEN / SD / PROS;9.925;61,51 %
PERITIBA;11;NEUSA;PP/PMDB / PP / PR;1.409;52,05 %
PESCARIA BRAVA;15;DEYVISONN;PMDB/PP / PMDB;2.751;41,00 %
PETROLÂNDIA;55;JOEL;PSD/PP / PSD;2.561;54,25 %
PINHALZINHO;45;MARIO AFONSO WOITEXEM - CENA;PSDB/PP / PSB / PSDB / PSD;5.836;49,73 %
PINHEIRO PRETO;15;PEDRO RABUSKE;PMDB/PMDB / PT;1.333;58,39 %
PIRATUBA;55;BILE;PSD/PDT / PSB / PT / PSDB / PSD;2.250;50,74 %
PLANALTO ALEGRE;55;JUARES BET;PSD/PT / PMDB / PP / PSD / PSB;1.906;100,00 %
POMERODE;25;ERCIO KRIEK;DEM/PSDB / DEM / PP / PSD / PRB;11.964;68,26 %
PONTE ALTA;13;PAULINHO;PT/PT / PDT / PR;1.217;35,19 %
PONTE ALTA DO NORTE;15;BETO;PMDB/PMDB;1.325;55,44 %
PONTE SERRADA;15;TIBE;PMDB/PMDB / PT / PR / PRB / PTC;3.980;58,01 %
PORTO BELO;15;EMERSON;PMDB/PMDB / PSD / PTB / PSB / PSC / PDT / SD / PPS;4.944;49,98 %
PORTO UNIÃO;45;ELISEU MIBACH;PSDB/PSDB / PSD / PRB;9.646;51,22 %
POUSO REDONDO;12;OSCAR;PDT/PDT / PSDB / PP / PT / PTB;4.935;52,30 %
PRAIA GRANDE;45;HENRIQUE MACIEL;PSDB/PSDB / PSD / PP / PT / PSB / PSL / PC do B / PDT;2.801;51,09 %
PRESIDENTE CASTELLO BRANCO;15;MIOTTO;PMDB/PMDB / PSDB / PSD;805;51,84 %
PRESIDENTE GETÚLIO;15;NELSON;PMDB/PMDB / PT / PPS / PSB;5.416;51,48 %
PRESIDENTE NEREU;11;ISAMAR;PP/PP / DEM / PSD;1.147;56,20 %
PRINCESA;15;EDILSON;PMDB/PMDB / PSDB;1.172;50,76 %
QUILOMBO;15;SILVANO DE PARIZ;PMDB/PMDB / DEM / PPS / PR / PSB / PSDB / PSD / PRB;4.676;63,71 %
RANCHO QUEIMADO;15;CLECI APARECIDA VERONEZI;PMDB/PSDB / PR / PMDB / PPS;1.360;53,33 %
RIO DAS ANTAS;45;RONALDO LOSS;PSDB/PP / PSDB / PSD;2.803;56,40 %
RIO DO CAMPO;13;RODRIGO PREIS;PT/PT / PMDB / PR / PSDB;2.418;51,78 %
RIO DO OESTE;15;BETÃO;PMDB/PMDB / DEM / PP / PSDB;2.853;55,18 %
RIO DOS CEDROS;55;MARILDO DOMINGOS FELIPPI;PSD/PP / DEM / PSDB / PSD;3.620;50,79 %
RIO DO SUL;45;THOMÉ;PSDB/PRB / DEM / PP / PSDB / PSD / PROS / PSB;17.183;47,67 %
RIO FORTUNA;55;LINDOMAR BALLMANN;PSD/PSD / PP / PSDB / PR;2.350;56,94 %
RIO NEGRINHO;40;JULIO RONCONI;PSB/PSB / PP / PRB / PR / PSD / PT / PTC / PSC;13.812;56,46 %
RIO RUFINO;40;THIAGO;PSB/PSB / PP / PMDB / DEM / PR;1.164;54,72 %
RIQUEZA;55;CAPELA;PSD/PSD / PP / PT / PR / PSDB;1.822;50,39 %
RODEIO;13;PAULINHO WEISS;PT/PDT / PT / PSD / PR;4.659;61,15 %
ROMELÂNDIA;15;VALDIR BUGS;PMDB/PMDB / PT;1.969;53,83 %
SALETE;22;CHICA;PR/PR / PSD / DEM / PP;2.534;47,28 %
SALTINHO;15;DEONIR FERRONATTO;PMDB/PMDB / PSD / PP / DEM / PSDB;1.576;53,05 %
SALTO VELOSO;15;ROSANA;PMDB/PP / PMDB / PPS / PSB / PDT / PSD / PSDB / PR;2.024;100,00 %
SANGÃO;11;CASTILHO;PP/PP / PSC / PDT;4.022;54,14 %
SANTA CECÍLIA;40;ALESSANDRA GARCIA;PSB/PSB / PROS / PDT / PHS / PT;6.185;61,16 %
SANTA HELENA;11;KIRELA;PP/PP / PSB / PR / PT / PSDB;1.296;60,31 %
SANTA ROSA DE LIMA;13;SALESIO;PT/PT / PP / PSD / PSB;975;51,51 %
SANTA ROSA DO SUL;55;NELSON;PSD/PP / PDT / DEM / PSDB / PSD / PROS / PT;3.673;60,54 %
SANTA TEREZINHA;55;VALQUIRIA;PSD/PP / PSDB / PSD;3.250;54,86 %
SANTA TEREZINHA DO PROGRESSO;25;DERLI FURTADO;DEM/PR / DEM / PSDB / PSB / PSD;962;42,30 %
