Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
SÃO JOSÉ DO CALÇADO;12;CUÍCA;PDT/PDT / PT / PR / DEM / PTB / PSDB;2.012;54,72 %
SÃO MATEUS;45;DANIEL DA AÇAÍ;PSDB/PRB / PDT / PT / PMDB / PTN / PHS / PSDC / PTC / PV / PRP / PSDB / PC do B;30.780;55,32 %
SÃO ROQUE DO CANAÃ;15;RUBENS CASOTTI;PMDB/PMDB / SD / PSB / PPS / PMN;5.214;66,54 %
SERRA;12;* SERGIO  VIDIGAL;PDT/PDT / PTB / PRB / PSL / PSC / DEM / PMN / PRP / PSDB / PEN / PSD / PT do B / SD / PROS;107.031;48,30 %
SERRA;18;* AUDIFAX;REDE/REDE / PMDB / PTC / PSDC / PC do B / PHS / PTN / PV / PPS / PSB / PP;96.862;43,71 %
SOORETAMA;45;ALESSANDRO BROEDEL;PSDB/PSDB / PT / PMN / PTN / PMDB;8.330;59,36 %
VARGEM ALTA;45;JOÃO ALTOÉ;PSDB/PP / DEM / PTN / PSDB / PSC / PTC / PRP / PTB / PMN;5.887;48,85 %
VENDA NOVA DO IMIGRANTE;25;BRAZ DELPUPO;DEM/DEM / PP / PSB / PSDB / PV / PROS / PPS;8.877;99,06 %
VIANA;43;GILSON DANIEL;PV/PRB / PP / PT / PMDB / PSL / REDE / PTN / PSC / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PV / PRP / PEN / PSD / SD / PROS;25.197;71,54 %
VILA PAVÃO;77;IRINEU WUTKE;SD/SD / DEM / PRP / PSL;2.565;41,60 %
VILA VALÉRIO;19;ROBINHO PARTELI;PTN/PTN / PRP / PRB / DEM / PMDB / SD;5.949;56,74 %
VILA VELHA;45;* MAX FILHO;PSDB/PSDB / PR;80.297;37,80 %
VILA VELHA;55;* NEUCIMAR FRAGA;PSD/PSD / PV / PROS / PT do B / PHS / PMN / PSC / PC do B / PP;65.745;30,95 %
VITÓRIA;23;* LUCIANO;PPS/PPS / PSDC / PC do B / REDE / PHS / PP / PV / PSB / PROS / PRB / PPL / PEN;81.315;43,82 %
VITÓRIA;77;* AMARO NETO;SD/SD / PDT / DEM / PRTB / PSD / PMB / PTC / PR / PTN / PT do B;65.554;35,32 %
